user_name,raw_timestamp_part_1,raw_timestamp_part_2,cvtd_timestamp,new_window,num_window,roll_belt,pitch_belt,yaw_belt,total_accel_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,total_accel_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,total_accel_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,problem_id,classe
pedro,1323095002,868349,05/12/2011 14:23,no,74,123,27,-4.75,20,-0.5,-0.02,-0.46,-38,69,-179,-13,581,-382,4.07E1,-2.78E1,178,10,-1.65,0.48,-0.18,16,38,93,-326,385,481,-1.773747952E1,2.496085253E1,1.262359642E2,9,0.64,0.06,-0.61,21,-15,81,523,-528,-56,141,4.93E1,156,33,0.74,-3.34,-0.59,-110,267,-149,-714,419,617,1,B
jeremy,1322673067,778725,30/11/2011 17:11,no,431,1.02,4.87,-8.89E1,4,-0.06,-0.02,-0.07,-13,11,39,43,636,-309,0,0,0,38,-1.17,0.85,-0.43,-290,215,-90,-325,447,434,5.447760516E1,-5.369758195E1,-7.551479864E1,31,0.34,0.05,-0.71,-153,155,-205,-502,388,-36,109,-1.76E1,106,39,1.12,-2.78,-0.18,212,297,-118,-237,791,873,2,A
jeremy,1322673075,342967,30/11/2011 17:11,no,439,0.87,1.82,-8.85E1,5,0.05,0.02,0.03,1,-1,49,29,631,-312,0,0,0,44,2.1,-1.36,1.13,-341,245,-87,-264,474,413,5.707030753E1,-5.137302799E1,-7.520287263E1,29,0.39,0.14,-0.34,-141,155,-196,-506,349,41,131,-3.26E1,93,34,0.18,-0.79,0.28,154,271,-129,-51,698,783,3,B
adelmo,1322832789,560311,02/12/2011 13:33,no,194,125,-4.16E1,162,17,0.11,0.11,-0.16,46,45,-156,169,608,-304,-109,55,-142,25,0.22,-0.51,0.92,-238,-57,6,-173,257,633,4.310926817E1,-3.004884783E1,-1.033200319E2,18,0.1,-0.02,0.05,-51,72,-148,-576,238,53,0,0,0,43,1.38,0.69,1.8,-92,406,-39,-233,783,521,4,A
eurico,1322489635,814776,28/11/2011 14:13,no,235,1.35,3.33,-8.86E1,3,0.03,0.02,0,-8,4,27,33,566,-418,7.61E1,2.76,102,29,-1.96,0.79,-0.54,-197,200,-30,-170,275,617,-1.013839643E2,-5.34395195E1,-1.41954232E1,4,0.29,-0.47,-0.46,-18,-30,-5,-424,252,312,-176,-2.16,-4.79E1,24,-0.75,3.1,0.8,131,-93,172,375,-787,91,5,A
jeremy,1322673149,510661,30/11/2011 17:12,no,504,-5.92,1.59,-8.77E1,4,0.1,0.05,-0.13,-11,-16,38,31,638,-291,0,0,0,14,0.02,0.05,-0.07,-26,130,-19,396,176,516,6.218749825E1,-5.055594592E1,-7.112063095E1,29,-0.59,0.8,1.1,-138,166,-186,-543,262,96,150,1.46,8.97E1,43,-0.88,4.26,1.35,230,322,-144,-300,800,884,6,E
jeremy,1322673128,766645,30/11/2011 17:12,no,485,1.2,4.44,-8.73E1,4,-0.06,0,0,-14,2,35,50,622,-315,0,0,0,15,2.36,-1.01,0.89,99,79,-67,702,15,217,5.604618357E1,-5.396761388E1,-7.387055229E1,29,0.34,0.16,-0.23,-145,150,-190,-484,354,97,155,3.45E1,152,32,-0.53,1.8,0.75,-192,170,-175,-678,284,585,7,D
jeremy,1322673076,54671,30/11/2011 17:11,no,440,0.43,4.15,-8.85E1,4,-0.18,-0.02,-0.03,-10,-2,42,39,635,-305,0,0,0,22,-3.71,1.85,-0.69,-98,175,-78,535,215,385,5.912808038E1,-5.130241524E1,-7.336848661E1,29,0.37,0.14,-0.39,-140,159,-191,-515,350,53,-161,4.36E1,-8.95E1,47,0.63,-0.74,0.49,-151,-331,-282,-109,-619,-32,8,B
carlitos,1323084240,916313,05/12/2011 11:24,no,323,0.93,6.72,-9.37E1,4,0.1,0,-0.02,-15,1,32,-6,600,-302,-137,1.12E1,-167,34,0.03,-0.02,-0.02,-287,111,-122,-367,335,520,1.225240746E2,0,3.455555806E1,3,0.03,-0.21,-0.21,0,25,9,-519,348,-32,1.55E1,-6.35E1,-139,36,0.03,0.02,-0.02,195,204,-217,0,652,469,9,A
charles,1322837822,384285,02/12/2011 14:57,no,664,114,2.24E1,-1.31E1,18,0.14,0.11,-0.16,-25,63,-158,10,601,-330,-8.24E1,-6.38E1,-7.53E1,32,0.26,-0.5,0.79,-301,-42,-80,-420,294,493,-1.111176996E2,-3.190635386E1,3.190635386E1,2,0.42,0.51,-0.03,-7,-20,7,-531,321,-164,1.32E1,1.94E1,-105,24,0.02,0.13,-0.07,-212,98,-7,-403,723,512,10,A
carlitos,1323084277,36553,05/12/2011 11:24,no,859,0.92,5.94,-9.27E1,3,0.05,0,0,-18,4,27,6,599,-312,70,1.51E1,113,33,-0.08,0.02,0,-277,113,-112,-320,350,514,1.239841439E2,-3.207139242E1,7.889285443,1,0.18,-0.47,-0.23,-4,12,1,-556,280,-23,137,-9.41,104,46,0.05,0.05,0.11,-3,405,-203,-248,720,438,11,B
jeremy,1322673101,442731,30/11/2011 17:11,no,461,1.01,4.96,-8.78E1,5,-0.1,0,0.02,-22,8,40,51,632,-308,0,0,0,30,2.57,-1.06,0.79,-192,204,-75,194,280,555,4.550730046E1,-5.370900561E1,-8.305011649E1,30,0.39,-0.1,-0.56,-149,128,-215,-539,293,67,138,-1.99E1,7.05E1,36,-0.02,0.83,0.38,182,263,-148,32,648,702,12,C
eurico,1322489661,298656,28/11/2011 14:14,no,257,0.54,2.45,-8.86E1,3,-0.06,0,-0.13,-8,5,24,34,571,-426,110,-3.17E1,-1.36E1,23,-3.44,1.08,-0.15,106,97,-168,697,-184,-175,1.247996762E1,3.427571307E1,1.204247464E2,8,1.06,-1.11,-1,27,10,75,-328,271,363,176,1.67E1,-3.85E1,23,0,-4.69,-1.26,149,46,167,456,-677,29,13,B
jeremy,1322673043,178652,30/11/2011 17:10,no,408,0.45,5.02,-8.79E1,5,-0.05,0,0,-14,2,49,55,635,-305,0,0,0,37,-0.02,-0.02,-0.1,-277,157,-183,-404,416,409,5.637077461E1,-4.997064756E1,-7.702918844E1,30,0.35,0.11,-0.38,-139,155,-202,-523,337,46,5.31E1,-4.62E1,159,33,0.02,0,0.03,232,106,-198,123,555,648,14,A
jeremy,1322673156,550750,30/11/2011 17:12,no,779,5.34,-3.09,-8.03E1,4,0.24,0,0.05,8,19,28,91,584,-398,0,0,0,23,3.66,-2.09,0.49,41,85,-204,750,-24,-58,4.632750071E1,-5.497283764E1,-8.127499013E1,31,0.75,-0.21,-1.18,-159,136,-221,-511,323,85,152,2.65E1,-168,24,0.64,-5.97,-1.05,-18,43,-226,-540,-155,389,15,E
eurico,1322489713,706637,28/11/2011 14:15,no,302,1.65,3.47,-87,2,0.02,0.02,0,-12,5,20,45,566,-425,8.81E1,5.58,123,33,0.02,-0.06,0.1,-236,163,-148,-398,288,525,5.779589112E1,3.372223165E1,8.77992825E1,13,-1.03,0.92,0.13,43,71,100,-284,311,368,-176,1.62E1,-4.22E1,25,-0.31,-3.45,-0.66,161,-61,171,532,-775,114,16,E
pedro,1323094971,920315,05/12/2011 14:22,no,48,129,2.78E1,1.84,21,-0.5,0,-0.48,-47,69,-187,4,566,-400,-1.47,-3.45,-5.51E1,3,-0.19,-0.24,0.13,2,-9,27,-394,321,502,-2.849711141E1,1.36137931E1,1.253314711E2,11,0.5,-0.11,-0.33,14,-29,98,484,-558,-19,7.94E1,-2.6,109,30,0.1,-0.06,0.18,144,201,-154,-146,756,708,17,A
carlitos,1323084285,176314,05/12/2011 11:24,no,361,0.92,5.31,-9.31E1,3,0.02,0,-0.05,-13,3,24,0,607,-305,152,-2.64E1,-85,42,1,-0.37,-0.03,35,-65,-404,202,-307,-499,1.074722233E2,-4.953989631E1,-2.377137314,4,-0.39,1.91,0.52,-20,37,-1,-527,329,-77,-173,4.98E1,-133,25,-0.75,4.14,0.95,-129,-29,-202,-500,-232,329,18,B
pedro,1323094999,828379,05/12/2011 14:23,no,72,123,2.67E1,-2.68,19,-0.31,-0.05,-0.44,-48,72,-169,-5,584,-366,3.07E1,-27,-151,11,1.99,-1.2,-0.44,-7,57,89,-266,454,441,-7.463022277,2.365339092E1,1.322337396E2,10,0.45,-0.1,-0.23,22,-7,91,505,-537,-86,-164,5.93E1,-149,23,-1.06,2.79,0.67,-148,21,-172,-614,-46,471,19,B
eurico,1322489658,106658,28/11/2011 14:14,no,255,1.4,3.2,-8.87E1,3,0.06,-0.02,0.02,-9,4,23,37,567,-425,9.06E1,1.15E1,117,30,-0.47,0.13,-0.18,-223,166,-105,-428,321,472,3.691667833E1,9.686772811E1,4.517826318E1,23,0.79,-0.79,-0.23,185,81,98,272,403,340,173,1.92E1,-8.32E1,21,-1.01,3.18,1.26,41,-100,179,70,-703,74,20,B
